DataTime,NetMode,StatType,StatItem,ItemNum
20260306,LTE,VersionStatistic,LN_D_V6.10.10.00,94
20260306,LTE,VersionStatistic,L_D_V6.10.10.00,14
20260306,NR,BasicStatistic,NRSiteNumber,2576
20260306,NR,BasicStatistic,NRNoneQcellSiteNumber,2270
20260306,NR,BasicStatistic,NRQcellSiteNumber,101
20260306,NR,BasicStatistic,NRSASiteNumber,0
20260306,NR,BasicStatistic,NRNSASiteNumber,2327
20260306,NR,BasicStatistic,TNRSiteNumber,1259
20260306,NR,BasicStatistic,FNRSiteNumber,1317
20260306,NR,BasicStatistic,NRCellNumber,14119
20260306,NR,BasicStatistic,NRNoneQcellCellNumber,13589
20260306,NR,BasicStatistic,NRQcellNumber,530
20260306,NR,BasicStatistic,NRSACellNumber,0
20260306,NR,BasicStatistic,NRNSACellNumber,14119
20260306,NR,BasicStatistic,TNRCellNumber,7135
20260306,NR,BasicStatistic,FNRCellNumber,6984
20260306,NR,BasicStatistic,NRSubnetworkNumber,2
20260306,NR,AAUStatistic,R9234E S2100(A8A),1271
20260306,NR,AAUStatistic,R9264 M1821(ACA),250
20260306,NR,AAUStatistic,R8894E M1821(A8C),73
20260306,NR,AAUStatistic,A9631A S35,571
20260306,NR,AAUStatistic,R9254 S8500(A6A),1790
20260306,NR,AAUStatistic,R9224H M1821(ACC),386
20260306,NR,AAUStatistic,R8149 M182135,491
20260306,NR,AAUStatistic,R8862A S2100(A4A),118
20260306,NR,AAUStatistic,A9611 S35,333
20260306,NR,AAUStatistic,A9642A S35,689
20260306,NR,AAUStatistic,R9604 S35,1042
20260306,NR,AAUStatistic,R8149 T3500,1255
20260306,NR,AAUStatistic,R9254E S2100(A8A),79
20260306,NR,AAUStatistic,R9212E S2100(A8A),455
20260306,NR,AAUStatistic,R9268E M1821(A8A),130
20260306,NR,AAUStatistic,R9242 M1821(ACC),18
20260306,NR,AAUStatistic,R8894E S2100(A8C),32
20260306,NR,AAUStatistic,R8149 M2135B,140
20260306,NR,AAUStatistic,R8149 M1835B,40
20260306,NR,AAUStatistic,R9614 S35,195
20260306,NR,AAUStatistic,R9606A S35,187
20260306,NR,AAUStatistic,R9242E M1821(AGA),26
20260306,NR,AAUStatistic,A9622A S35,81
20260306,NR,AAUStatistic,R9115 M1835,45
20260306,NR,AAUStatistic,AP9642A M35F,6
20260306,NR,AAUStatistic,R9248 S2100(A4A),18
20260306,NR,AAUStatistic,R8862A S2100(A6A),1
20260306,NR,AAUStatistic,R8862A S2100(D6A),1
20260306,NR,AAUStatistic,R9626S S35,4
20260306,NR,BasebandBoardStatistic,VBPd04,603
20260306,NR,BasebandBoardStatistic,VBPe04,182
20260306,NR,BasebandBoardStatistic,VBPd01,216
20260306,NR,BasebandBoardStatistic,VBPe24,302
20260306,NR,BasebandBoardStatistic,VBPd19,202
20260306,NR,BasebandBoardStatistic,VBPd24,131
20260306,NR,BasebandBoardStatistic,VBPe41,95
20260306,NR,BasebandBoardStatistic,VBPc5,98
20260306,NR,BasebandBoardStatistic,VBPd02,264
20260306,NR,BasebandBoardStatistic,VBPd41,467
20260306,NR,BasebandBoardStatistic,VBPe01,36
20260306,NR,BasebandBoardStatistic,VBPe02,14
20260306,NR,BasebandBoardStatistic,VBPd23,1
20260306,NR,BasebandBoardStatistic,VBPe53,2
20260306,NR,BasebandBoardStatistic,VBPe54,2
20260306,NR,FrequencyBandStatistic,2144.55_20M,1310
20260306,NR,FrequencyBandStatistic,2144.55_40M,3532
20260306,NR,FrequencyBandStatistic,2118.15_40M,314
20260306,NR,FrequencyBandStatistic,3408.96_100M,6779
20260306,NR,FrequencyBandStatistic,877.35_15M,676
20260306,NR,FrequencyBandStatistic,880.95_15M,1114
20260306,NR,FrequencyBandStatistic,3509.76_100M,356
20260306,NR,FrequencyBandStatistic,2114.55_20M,38
20260306,NR,VersionStatistic,V5.75.10.20A03#V5.75.10.20F15,14009
20260306,NR,VersionStatistic,V5.75.20.20A04#V5.75.20.20,110
